nRandomListId	nMustReward	nProbability	szReward
29	0	16000	equip:402:1
29	0	16000	equip:403:1
29	0	5000	equip:405:1
29	0	5000	equip:411:1
29	0	5000	equip:417:1
29	0	5000	equip:423:1
29	0	4000	equip:429:1
29	0	4000	equip:435:1
29	0	4000	equip:441:1
29	0	4000	equip:447:1
29	0	2000	equip:453:1
29	0	2000	equip:459:1
29	0	2000	equip:465:1
29	0	2000	equip:471:1
30	0	8333	equip:477:1
30	0	8333	equip:483:1
30	0	8333	equip:489:1
30	0	8333	equip:495:1
31	0	15000	equip:601:1
31	0	15000	equip:602:1
31	0	15000	equip:603:1
31	0	15000	equip:604:1
31	0	10000	equip:605:1
31	0	10000	equip:611:1
31	0	10000	equip:617:1
31	0	10000	equip:623:1
32	0	3250	equip:601:1
32	0	3250	equip:602:1
32	0	3250	equip:603:1
32	0	3250	equip:604:1
32	0	21250	equip:605:1
32	0	21250	equip:611:1
32	0	21250	equip:617:1
32	0	21250	equip:623:1
32	0	500	equip:629:1
32	0	500	equip:635:1
32	0	500	equip:641:1
32	0	500	equip:647:1
33	0	23500	equip:605:1
33	0	23500	equip:611:1
33	0	23500	equip:617:1
33	0	23500	equip:623:1
33	0	1250	equip:629:1
33	0	1250	equip:635:1
33	0	1250	equip:641:1
33	0	1250	equip:647:1
33	0	250	equip:653:1
33	0	250	equip:659:1
33	0	250	equip:665:1
33	0	250	equip:671:1
34	0	15225	equip:605:1
34	0	15225	equip:611:1
34	0	15225	equip:617:1
34	0	15225	equip:623:1
34	0	9250	equip:629:1
34	0	9250	equip:635:1
34	0	9250	equip:641:1
34	0	9250	equip:647:1
34	0	500	equip:653:1
34	0	500	equip:659:1
34	0	500	equip:665:1
34	0	500	equip:671:1
34	0	25	equip:677:1
34	0	25	equip:683:1
34	0	25	equip:689:1
34	0	25	equip:695:1
35	0	23625	equip:629:1
35	0	23625	equip:635:1
35	0	23625	equip:641:1
35	0	23625	equip:647:1
35	0	1250	equip:653:1
35	0	1250	equip:659:1
35	0	1250	equip:665:1
35	0	1250	equip:671:1
35	0	125	equip:677:1
35	0	125	equip:683:1
35	0	125	equip:689:1
35	0	125	equip:695:1
36	1	0	money:1000
36	1	0	item:baiju_1:10
36	1	0	equip:101:1
36	1	0	equip:201:1
36	1	0	item:randombox_djlb2:1
37	1	0	money:1500
37	1	0	item:baiju_1:20
37	1	0	equip:2:1
37	1	0	equip:302:1
37	1	0	item:rewarditem_1:1
37	1	0	item:rewarditem_4:1
37	1	0	item:randombox_djlb3:1
38	1	0	money:2000
38	1	0	item:baiju_1:30
38	1	0	equip:16:1
38	1	0	equip:110:1
38	1	0	equip:404:1
38	1	0	item:rewarditem_2:2
38	1	0	item:rewarditem_5:2
38	1	0	item:randombox_djlb4:1
39	1	0	money:2500
39	1	0	item:baiju_2:10
39	1	0	equip:210:1
39	1	0	equip:304:1
39	1	0	equip:411:1
39	1	0	item:rewarditem_2:2
39	1	0	item:rewarditem_5:2
39	1	0	item:randombox_djlb5:1
40	1	0	money:3000
40	1	0	item:baiju_2:25
40	1	0	equip:603:1
40	1	0	equip:405:1
40	1	0	item:rewarditem_3:1
40	1	0	item:rewarditem_6:1
40	1	0	item:randombox_djlb6:1
41	1	0	money:5000
41	1	0	item:baiju_2:30
41	1	0	equip:22:1
41	1	0	equip:617:1
41	1	0	item:rewarditem_3:1
41	1	0	item:rewarditem_6:1
41	1	0	item:randombox_djlb7:1
42	1	0	money:8000
42	1	0	item:baiju_2:40
42	1	0	equip:52:1
42	1	0	item:rewarditem_3:2
42	1	0	item:rewarditem_6:2
101	0	25000	card:53:1
101	0	25000	card:61:1
101	0	50000	item:suipian_5:2
101	0	120000	item:suipian_5:1
101	0	20000	item:suipian_4:5
101	0	760000	item:suipian_4:1
102	0	10000	card:37:1
102	0	10000	card:45:1
102	0	10000	card:53:1
102	0	10000	card:61:1
102	0	35000	card:111:1
102	0	35000	card:115:1
102	0	60000	item:suipian_5:3
102	0	50000	item:suipian_5:2
102	0	60000	item:suipian_5:1
102	0	50000	item:suipian_4:5
102	0	670000	item:suipian_4:1
103	0	25000	card:37:1
103	0	25000	card:45:1
103	0	25000	card:53:1
103	0	25000	card:61:1
103	0	25000	card:111:1
103	0	25000	card:115:1
103	0	40000	item:suipian_5:3
103	0	250000	item:suipian_5:2
103	0	300000	item:suipian_5:1
103	0	50000	item:suipian_4:5
103	0	210000	item:suipian_4:1
104	0	11667	item:suipian_3:5
104	0	11667	item:suipian_6:5
104	0	46667	item:suipian_9:5
104	0	11667	item:suipian_3:1
104	0	11667	item:suipian_6:1
104	0	46667	item:suipian_9:1
104	0	15000	item:suipian_2:5
104	0	75000	item:suipian_5:5
104	0	60000	item:suipian_8:5
104	0	12000	item:suipian_2:3
104	0	60000	item:suipian_5:3
104	0	48000	item:suipian_8:3
104	0	15000	item:suipian_2:1
104	0	75000	item:suipian_5:1
104	0	60000	item:suipian_8:1
104	0	17857	item:suipian_1:8
104	0	53571	item:suipian_4:8
104	0	178571	item:suipian_7:8
104	0	13571	item:suipian_1:3
104	0	40714	item:suipian_4:3
104	0	135714	item:suipian_7:3
105	0	13333	item:suipian_3:3
105	0	13333	item:suipian_6:3
105	0	53333	item:suipian_9:3
105	0	13333	item:suipian_3:1
105	0	13333	item:suipian_6:1
105	0	53333	item:suipian_9:1
105	0	15000	item:suipian_2:5
105	0	75000	item:suipian_5:5
105	0	60000	item:suipian_8:5
105	0	8000	item:suipian_2:2
105	0	40000	item:suipian_5:2
105	0	32000	item:suipian_8:2
105	0	9000	item:suipian_2:1
105	0	45000	item:suipian_5:1
105	0	36000	item:suipian_8:1
105	0	27857	item:suipian_1:5
105	0	83571	item:suipian_4:5
105	0	278571	item:suipian_7:5
105	0	9286	item:suipian_1:1
105	0	27857	item:suipian_4:1
105	0	92857	item:suipian_7:1
106	0	8333	item:suipian_3:3
106	0	8333	item:suipian_6:3
106	0	33333	item:suipian_9:3
106	0	16667	item:suipian_3:1
106	0	16667	item:suipian_6:1
106	0	66667	item:suipian_9:1
106	0	12000	item:suipian_2:5
106	0	60000	item:suipian_5:5
106	0	48000	item:suipian_8:5
106	0	5000	item:suipian_2:2
106	0	25000	item:suipian_5:2
106	0	20000	item:suipian_8:2
106	0	5000	item:suipian_2:1
106	0	25000	item:suipian_5:1
106	0	20000	item:suipian_8:1
106	0	16429	item:suipian_1:5
106	0	49286	item:suipian_4:5
106	0	164286	item:suipian_7:5
106	0	28571	item:suipian_1:1
106	0	85714	item:suipian_4:1
106	0	285714	item:suipian_7:1
107	1	0	gift:200
110	0	300	item:cardmoneymaterial_1:1
110	0	300	item:cardmoneymaterial_2:1
110	0	300	item:cardmoneymaterial_3:1
111	0	300	item:cardmoneymaterial_4:1
111	0	300	item:cardmoneymaterial_5:1
111	0	300	item:cardmoneymaterial_6:1
112	0	300	item:cardmoneymaterial_7:1
112	0	300	item:cardmoneymaterial_8:1
112	0	300	item:cardmoneymaterial_9:1
